codigo_estructura,potencia,tipo,potencia2,porcentaje_perdida,doblenivel,descripcion_larga,desc_nemot,perdidas_w,perdidas2_w
APO1019,7.8,C,0,10,C,Lum. 240 V Led 7.8 W en fachada con red preen Autocontrolada pot. cte. C,APD-0FLCL7.8AC,0.78,
APO1018,50,C,0,10,C,Lum. 240 V Led 50 W en fachada con red preen Autocontrolada pot. cte. C,APD-0FLCL50AC,5,
APO1011,52,C,0,10,C,Lum. 240 V Led 52 W en fachada con red subt hilo piloto pot. cte. C,APD-0ALCL52PC,5.2,
APO1010,5.7,C,0,10,C,Lum. 240 V Led 5.7 W en fachada con red subt hilo piloto pot. cte. C,APD-0ALCL5.7PC,0.57,
APO1013,18,C,0,10,C,Lum. 240 V Led 18 W en fachada con red preen Autocontrolada pot. cte. C,APD-0FLCL18AC,1.8,
APO1012,175,C,0,10,C,Lum. 240 V Led 175 W en fachada con red preen hilo piloto pot. cte. C,APD-0FLCL175PC,17.5,
APO1015,20,C,0,10,C,Lum. 240 V Led 20 W en fachada con red preen hilo piloto pot. cte. C,APD-0FLCL20PC,2,
APO1014,200,C,0,10,C,Lum. 240 V Led 200 W en fachada con red preen Autocontrolada pot. cte. C,APD-0FLCL200AC,20,
APO1017,32,C,0,10,C,Lum. 240 V Led 32 W en fachada con red preen hilo piloto pot. cte. C,APD-0FLCL32PC,3.2,
EU0029,,,,0,,Est.red subt.  banco de ductos  config. 1x2  de 160 mm. en calzada,EU0-0B1x2C2,,
TRV0265,110,C,0,0,,Banco de 2 transformadores 22 kV monofásicos 110 kVA en cámara,TRV-3V110,,
APO0706,180,C,0,10,,Lum. 240 V Led 180 W en poste con red aerea Autocontrolada pot. cte. C,APD-0PLCL180AC,18,
MED0010,,,0,0,,Medidor 240V 1F3H - Masivos Electromecánico. Energía Activa - 100 A_Forma 2A,MED-1L100_2A,,
SDT0318,555,,,,,"SGDA 13,8kV 3F Fotovoltaica de 555kW",SDT-3F555,,
ESS0060,,,0,0,,Est. 6 kV 3F En Volado Pasante deriv. 2F Centrada Retención,ESS-3VP+2CR,,
TRV0273,192,C,0,0,,Banco de 2 transformadores 22 kV monofásicos 192 kVA en cámara,TRV-3V192,,
APO0987,200,C,0,10,C,Lum. 240 V Led 200 W en poste con red subt Autocontrolada pot. cte. C,APD-0SLCL200AC,20,0
TRR0400,112.5,C,0,0,,Banco de 2 transformadores en paralelo 34.5 kV monofásicos 112.5 KVA en cámara,TRR-1V112.5,,
COO0005,,,0,0,,Conductor TW Cu # 3/0 AWG,CO0-0O3/0,,
COO0131,,,0,0,,Conductor TW Cu # 12 AWG,CO0-0O12,,
SPR0068,,,0,0,,Protección 34.5kV 2F con descargador 30kV,SPR-2P30,,
TRV0049,3,C,0,0,,Transformador 22 kV 1F conv. 3 kVA en cámara,TRV-1O3,,
TRT0123,25,C,0,0,,Banco de 2 transformadores 13 kV monofásicos 25 KVA en cámara,TRT-3V25,,
EST0123,,,0,0,,Est. 13 kV 1F Bandera Angular dos deriv. 1F Centrada Retención,EST-1BA+1CR+1CR,,
COO0108,,,0,0,,Conductor Clase 15kV Al 4/0 AWG,CO0-0Z4/0,,
MEC0012,,,0,0,,Medidor 120V 1F2H - Masivos Electromecánico. Energía Activa - 45 A_Forma 13A,MEC-1L45_13A,,
TRT0133,75,C,0,0,,Banco de 2 transformadores 13 kV monofásicos 75 KVA en cámara,TRT-3V75,,
